unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Sailpost;PG;91500;91500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890
Sailpost;06012;7000;7000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06016;2500;2500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06019;4000;4000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06022;500;500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06023;3000;3000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06024;6000;6000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06028;500;500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06034;10000;10000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06044;1000;1000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06049;6400;6400;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06060;400;400;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06061;3800;3800;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06062;2000;2000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06063;3800;3800;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06064;1200;1200;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06065;1500;1500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06066;800;800;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06069;1000;1000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06073;5000;5000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06081;6500;6500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06083;5200;5200;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06089;1700;1700;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06121;250;250;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06122;250;250;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06123;250;250;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06124;250;250;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06125;1200;1200;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06126;1000;1000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06127;250;250;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06128;250;250;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06129;1000;1000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06131;2500;2500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06132;9000;9000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Sailpost;06135;1500;1500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
Poste;TO;41000;41000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;AO;5000;5000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;CN;10500;10500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;SP;5500;5500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;VE;15500;15500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;VR;16000;16000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;TN;9300;9300;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;MO;14500;14500;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;RO;4000;4000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;MS;3000;3000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;LU;7000;7000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;AN;8000;8000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
Poste;MC;5000;5000;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890,AR,RS
PostAndService;TE;1750;1750;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890
PostAndService;64010;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64011;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64012;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64013;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64014;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64015;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64016;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64018;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64020;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64021;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64023;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64024;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64025;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64026;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64027;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64028;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64030;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64031;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64032;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64033;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64034;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64035;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64036;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64037;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64039;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64040;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64041;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64042;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64043;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64044;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64045;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64046;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64047;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64049;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;64100;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;PE;1300;1300;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;890
PostAndService;65010;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;65011;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;65012;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;65013;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;65014;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;65015;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
PostAndService;65017;50;50;2026-06-08T00:00:00.000Z;2026-07-05T23:59:59.999Z;
