unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;RM;94000;94000;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;VT;5000;5000;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;RI;2500;2500;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;FR;8000;8000;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;LT;10500;10500;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;LC;3500;3500;2026-04-20T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;AN;8000;8000;2026-04-20T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;PU;6000;6000;2026-04-20T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;MC;5000;5000;2026-04-20T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;AP;4000;4000;2026-04-20T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
Poste;FM;3000;3000;2026-04-20T00:00:00.000Z;2026-05-10T23:59:59.999Z;890,AR,RS
PostAndService;BA;1950;1950;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;AR
PostAndService;70010;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70011;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70013;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70014;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70015;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70016;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70017;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70018;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70019;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70020;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70021;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70022;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70023;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70024;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70025;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70026;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70027;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70028;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70029;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70032;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
PostAndService;70033;50;50;2026-04-13T00:00:00.000Z;2026-05-10T23:59:59.999Z;
