unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;RI;2500;2500;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;MI;63000;63000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;MB;12000;12000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;VA;10500;10500;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;CO;7000;7000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;SO;2000;2000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;LC;3500;3500;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;BG;14000;14000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;BS;17000;17000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;CR;5000;5000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;LO;3000;3000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;PV;8000;8000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;NO;6500;6500;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
Poste;MN;5000;5000;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;890,AR,RS
PostAndService;BA;1950;1950;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;AR
PostAndService;70010;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70011;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70013;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70014;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70015;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70016;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70017;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70018;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70019;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70020;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70021;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70022;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70023;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70024;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70025;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70026;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70027;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70028;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
PostAndService;70029;50;50;2026-06-08T00:00:00.000Z;2026-07-12T23:59:59.999Z;
