unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
PostAndService;TE;1750;1750;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;890
PostAndService;64010;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64011;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64012;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64013;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64014;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64015;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64016;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64018;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64020;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64021;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64023;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64024;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64025;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64026;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64027;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64028;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64030;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64031;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64032;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64033;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64034;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64035;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64036;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64037;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64039;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64040;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64041;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64042;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64043;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64044;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64045;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64046;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64047;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64049;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;64100;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;PE;1300;1300;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;890
PostAndService;65010;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65011;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65012;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65013;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65014;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65015;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65017;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65019;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65020;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65022;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65023;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65024;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65025;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65026;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65027;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65028;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
PostAndService;65029;50;50;2026-07-06T00:00:00.000Z;2026-08-02T23:59:59.999Z;
