unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;RI;2500;2500;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;890,AR,RS
Poste;MI;63000;63000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;MB;12000;12000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;VA;10500;10500;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;CO;7000;7000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;SO;2000;2000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;LC;3500;3500;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;BG;14000;14000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;BS;17000;17000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;CR;5000;5000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;LO;3000;3000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;PV;8000;8000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;MN;5000;5000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;AN;8000;8000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;PU;6000;6000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;MC;5000;5000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;AP;4000;4000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
Poste;FM;3000;3000;2026-03-09T00:00:00.000Z;2026-04-19T23:59:59.999Z;890,AR,RS
PostAndService;BA;1950;1950;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;AR
PostAndService;70010;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70011;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70013;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70014;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70015;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70016;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70017;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70018;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70019;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70020;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
PostAndService;70021;50;50;2026-03-09T00:00:00.000Z;2026-04-12T23:59:59.999Z;
