unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;RI;2597;2500;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;NU;4034;4000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;TO;45102;41000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;CN;10990;10500;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;VC;3025;3000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;AT;5290;5000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;NO;6620;6500;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;MS;3234;3000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
Poste;LU;7318;7000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;890,AR,RS
PostAndService;BR;3020;900;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;AR
PostAndService;BT;799;500;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;AR
Poste;11020;5568;2000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Poste;11100;4075;3000;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;64010;52;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;64100;220;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;65010;55;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;65012;66;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;65015;89;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;65026;61;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;65128;67;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;66010;79;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;66026;132;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;66034;64;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;66100;65;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;67039;164;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;67051;111;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;67100;90;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70010;116;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70016;55;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70017;54;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70018;57;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70019;59;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70022;167;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70032;66;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70056;56;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70123;65;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;70132;53;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71013;73;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71016;67;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71036;66;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71041;55;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71042;283;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71045;51;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71121;85;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;71122;85;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;72020;66;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;72024;58;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;72028;59;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;73010;125;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;73013;57;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;73020;77;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;73040;68;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;73043;61;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;73048;52;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;73100;127;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74010;57;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74011;62;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74013;102;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74014;74;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74015;113;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74016;214;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74017;62;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74018;61;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74019;82;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74020;180;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74023;88;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74024;91;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74121;191;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74122;97;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;74123;207;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;76125;80;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;81030;3277;480;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;83025;476;240;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;84010;555;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;86010;51;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
PostAndService;86100;76;50;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;87011;139;120;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;87036;1099;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;87040;861;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88046;1866;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88813;411;240;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88816;555;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88821;620;240;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88832;244;240;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88837;665;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88838;742;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88841;596;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88842;1067;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;88900;3650;480;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89121;563;240;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89122;569;240;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89123;325;120;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89124;505;240;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89125;292;120;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89126;703;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89128;549;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89129;967;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89131;1085;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89132;825;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89133;1490;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89134;932;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;89135;1230;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
Fulmine;96010;975;360;2026-02-16T00:00:00.000Z;2026-02-22T23:59:59.999Z;
