activationDate;geokey;product;lot;zone;coverFlag;dismissed
2025-06-09T13:00:00.000Z;10;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;10;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;10;890;9;EU;true;false
2025-06-09T13:00:00.000Z;12;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;12;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;12;890;9;EU;true;false
2025-06-09T13:00:00.000Z;13;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;13;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;13;890;9;EU;true;false
2025-06-09T13:00:00.000Z;15;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;15;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;15;890;9;EU;true;false
2025-06-09T13:00:00.000Z;17;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;17;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;17;890;9;EU;true;false
2025-06-09T13:00:00.000Z;18;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;18;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;18;890;9;EU;true;false
2025-06-09T13:00:00.000Z;19;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;19;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;19;890;9;EU;true;false
2025-06-09T13:00:00.000Z;20;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;20;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;20;890;9;EU;true;false
2025-06-09T13:00:00.000Z;21;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;21;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;21;890;9;EU;true;false
2025-06-09T13:00:00.000Z;22;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;22;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;22;890;9;EU;true;false
2025-06-09T13:00:00.000Z;23;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;23;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;23;890;9;EU;true;false
2025-06-09T13:00:00.000Z;24;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;24;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;24;890;9;EU;true;false
2025-06-09T13:00:00.000Z;25;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;25;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;25;890;9;EU;true;false
2025-06-09T13:00:00.000Z;26;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;26;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;26;890;9;EU;true;false
2025-06-09T13:00:00.000Z;27;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;27;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;27;890;9;EU;true;false
2025-06-09T13:00:00.000Z;28;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;28;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;28;890;9;EU;true;false
2025-06-09T13:00:00.000Z;29;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;29;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;29;890;9;EU;true;false
2025-06-09T13:00:00.000Z;30;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;30;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;30;890;9;EU;true;false
2025-06-09T13:00:00.000Z;31;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;31;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;31;890;9;EU;true;false
2025-06-09T13:00:00.000Z;32;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;32;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;32;890;9;EU;true;false
2025-06-09T13:00:00.000Z;33;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;33;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;33;890;9;EU;true;false
2025-06-09T13:00:00.000Z;34;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;34;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;34;890;9;EU;true;false
2025-06-09T13:00:00.000Z;35;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;35;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;35;890;9;EU;true;false
2025-06-09T13:00:00.000Z;36;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;36;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;36;890;9;EU;true;false
2025-06-09T13:00:00.000Z;37;RS;23;EU;true;false
2025-06-09T13:00:00.000Z;37;AR;28;EU;true;false
2025-06-09T13:00:00.000Z;37;890;9;EU;true;false
